CountryCode,question_code,subset,answer,percentage
AL,Y16_Q21,All,1. Other,77.2
ME,Y16_Q21,All,1. Other,85.6
MK,Y16_Q21,All,1. Other,83.2
RS,Y16_Q21,All,1. Other,82.8
TR,Y16_Q21,All,1. Other,76.7
AT,Y16_Q21,All,1. Other,93.9
BE,Y16_Q21,All,1. Other,92.7
BG,Y16_Q21,All,1. Other,91.6
CY,Y16_Q21,All,1. Other,83.7
CZ,Y16_Q21,All,1. Other,89.7
DE,Y16_Q21,All,1. Other,94.6
DK,Y16_Q21,All,1. Other,94
EE,Y16_Q21,All,1. Other,84.8
EL,Y16_Q21,All,1. Other,82.9
ES,Y16_Q21,All,1. Other,89
FI,Y16_Q21,All,1. Other,92.4
FR,Y16_Q21,All,1. Other,91.4
HR,Y16_Q21,All,1. Other,85.8
HU,Y16_Q21,All,1. Other,89.7
IE,Y16_Q21,All,1. Other,93.4
IT,Y16_Q21,All,1. Other,90.6
LT,Y16_Q21,All,1. Other,83.9
LU,Y16_Q21,All,1. Other,94.1
LV,Y16_Q21,All,1. Other,84.6
MT,Y16_Q21,All,1. Other,94.6
NL,Y16_Q21,All,1. Other,94
PL,Y16_Q21,All,1. Other,90.7
PT,Y16_Q21,All,1. Other,89.1
RO,Y16_Q21,All,1. Other,90.7
SE,Y16_Q21,All,1. Other,90.6
SI,Y16_Q21,All,1. Other,88.7
SK,Y16_Q21,All,1. Other,90.6
UK,Y16_Q21,All,1. Other,92.9
