CountryCode,question_code,subset,answer,percentage
AL,Y16_Q55a,All,1. Agree or strongly agree,73.4
ME,Y16_Q55a,All,1. Agree or strongly agree,68.7
MK,Y16_Q55a,All,1. Agree or strongly agree,79.7
RS,Y16_Q55a,All,1. Agree or strongly agree,69.5
TR,Y16_Q55a,All,1. Agree or strongly agree,47.3
AT,Y16_Q55a,All,1. Agree or strongly agree,74.1
BE,Y16_Q55a,All,1. Agree or strongly agree,72.4
BG,Y16_Q55a,All,1. Agree or strongly agree,56.2
CY,Y16_Q55a,All,1. Agree or strongly agree,74.2
CZ,Y16_Q55a,All,1. Agree or strongly agree,53.7
DE,Y16_Q55a,All,1. Agree or strongly agree,66.2
DK,Y16_Q55a,All,1. Agree or strongly agree,85.2
EE,Y16_Q55a,All,1. Agree or strongly agree,74.3
EL,Y16_Q55a,All,1. Agree or strongly agree,60
ES,Y16_Q55a,All,1. Agree or strongly agree,89.9
FI,Y16_Q55a,All,1. Agree or strongly agree,87.6
FR,Y16_Q55a,All,1. Agree or strongly agree,77.7
HR,Y16_Q55a,All,1. Agree or strongly agree,76.2
HU,Y16_Q55a,All,1. Agree or strongly agree,71.5
IE,Y16_Q55a,All,1. Agree or strongly agree,77.4
IT,Y16_Q55a,All,1. Agree or strongly agree,60.7
LT,Y16_Q55a,All,1. Agree or strongly agree,59.6
LU,Y16_Q55a,All,1. Agree or strongly agree,78.2
LV,Y16_Q55a,All,1. Agree or strongly agree,66.5
MT,Y16_Q55a,All,1. Agree or strongly agree,78.7
NL,Y16_Q55a,All,1. Agree or strongly agree,80.8
PL,Y16_Q55a,All,1. Agree or strongly agree,81.9
PT,Y16_Q55a,All,1. Agree or strongly agree,79.3
RO,Y16_Q55a,All,1. Agree or strongly agree,70.4
SE,Y16_Q55a,All,1. Agree or strongly agree,84.7
SI,Y16_Q55a,All,1. Agree or strongly agree,82.8
SK,Y16_Q55a,All,1. Agree or strongly agree,70.8
UK,Y16_Q55a,All,1. Agree or strongly agree,70.3
