CountryCode,question_code,subset,answer,percentage
AL,Y16_Q22,All,1. Other,72.3
ME,Y16_Q22,All,1. Other,61.7
MK,Y16_Q22,All,1. Other,61.3
RS,Y16_Q22,All,1. Other,66.9
TR,Y16_Q22,All,1. Other,63.9
AT,Y16_Q22,All,1. Other,52
BE,Y16_Q22,All,1. Other,60.1
BG,Y16_Q22,All,1. Other,56.9
CY,Y16_Q22,All,1. Other,72.6
CZ,Y16_Q22,All,1. Other,57
DE,Y16_Q22,All,1. Other,57.5
DK,Y16_Q22,All,1. Other,37.6
EE,Y16_Q22,All,1. Other,44.5
EL,Y16_Q22,All,1. Other,87.5
ES,Y16_Q22,All,1. Other,67.8
FI,Y16_Q22,All,1. Other,39.2
FR,Y16_Q22,All,1. Other,61.6
HR,Y16_Q22,All,1. Other,71.7
HU,Y16_Q22,All,1. Other,52.1
IE,Y16_Q22,All,1. Other,47.4
IT,Y16_Q22,All,1. Other,79.4
LT,Y16_Q22,All,1. Other,51.9
LU,Y16_Q22,All,1. Other,57.6
LV,Y16_Q22,All,1. Other,46.3
MT,Y16_Q22,All,1. Other,49.1
NL,Y16_Q22,All,1. Other,49.9
PL,Y16_Q22,All,1. Other,52.6
PT,Y16_Q22,All,1. Other,62.5
RO,Y16_Q22,All,1. Other,53.3
SE,Y16_Q22,All,1. Other,27.4
SI,Y16_Q22,All,1. Other,58.2
SK,Y16_Q22,All,1. Other,58.8
UK,Y16_Q22,All,1. Other,43.7
